Site_ID	Date	TDN	NO3	PN_NIRS	PN_CHN	NO2	NH4	TDP	SRP	PP	TP	TSS	VSS	Chla	PC_NIRS	PC_CHN	FI	UV.ABS.254.00nm.SUVA.	UV.ABS.254.00nm.SUVA.2	UV.ABS.254.00nm.SUVA.3	DOC	DIC	dD	dD_stdv	dO18	dO18_stdv
1	5/15/2013	2.025610793	1.459627364	0.50132	NA	NA	0.046023837	34.26842901	10.17554044	76.76761932	NA	NA	NA	NA	2839.26	NA	1.409115	0.3267	0.3262	0.3253	18.34101699	32.96916866	-53.6671	0.215	-7.3246	0.179
10	5/15/2013	20.5011695	20.82227079	0.059931429	NA	NA	0.029221183	47.85604024	31.2360272	5.000507945	NA	NA	NA	NA	249.7371429	NA	1.507355	0.1245	0.1229	0.1219	7.948063833	45.29967083	-54.812	0.356	-7.3362	0.148
10	6/11/2013	18.6418812	19.33598721	0.09532	NA	NA	bdl	71.77272604	48.53441429	10.43511671	NA	NA	NA	NA	844.66	NA	1.500533	0.1498	0.149	0.1485	5.188104242	42.63300668	-57.8434	0.494	-9.2098	0.283
10	6/12/2013	18.50584859	19.76660118	0.08656	0.0800125	NA	0.026761837	66.46262768	23.32090159	5.424977637	NA	2.9691	1.0052	NA	503.035	413.7625	1.49652	0.1292	0.1292	0.1292	4.532403182	42.43812084	-57.7712	0.651	-8.5814	0.397
11	5/15/2013	21.09550605	NA	0.063897143	NA	NA	NA	55.88786781	24.40320073	7.851927386	NA	NA	NA	NA	385.8971429	NA	1.481344	0.1565	0.1564	0.1564	8.199736887	44.50044025	-60.8291	0.386	-9.1001	0.11
11	6/11/2013	19.28641666	19.52271655	0.12024	NA	NA	0.027195166	92.04282382	49.38414516	16.81665717	NA	NA	NA	NA	917.92	NA	1.432347	0.2049	0.205	0.2049	6.426857664	40.71032691	-59.1269	0.994	-8.661	0.175
11	6/12/2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.533176471	1.636705882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	5/1/2014	15.35086072	14.25215349	0.45217	NA	NA	bdl	232.6415017	240.7719671	26.17696011	234.831799	16.6668	3.9135	0.75	1909.3	NA	1.368046	0.3021	0.4807	0.5978	6.923796673	37.95374939	NA	NA	NA	NA
11	5/28/2014	15.16990215	14.36628194	0.130233333	NA	NA	bdl	48.92451505	34.91097422	9.545902798	35.82532772	3.469431746	0.869736508	3.1	381.1566667	NA	1.473939	0.0547	0.0438	0.1898	4.47403709	58.78802229	-59.4879	0.178	-9.1306	0.0402
11	6/4/2014	16.26388412	14.31639	0.57328	NA	0.0809829	0.11640445	361.8859023	329.4417189	46.25920838	454.1970414	25.54403636	6.014118182	2.25	2780.68	NA	1.280179	0.266	0.3202	0.8047	9.316905525	40.49334424	NA	NA	NA	NA
