OID_,UTMx,UTMy,Basin,Outlet_typ,Long_DD,Lat_DD,Inlet_type,Gage,Site_ID,OBJECTID,Join_Count,TARGET_FID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode
1,467199,4898951,CA, ,-93.410802735399997,44.243054605399998, , ,1,1,1,1,2032993,7/7/1999 0:00:00,3,640874,Cannon River,2.026000000000000,07040002000106,1,0,460,46006
2,463122,4883024,CA,internal lake,-93.460744210300007,44.099469647100001, , ,2,2,1,2,2033245,7/7/1999 0:00:00,3, , ,0.450000000000000,07040002000683,1,0,460,46006
3,464834,4885682,CA, ,-93.439532882500004,44.123484056400002, , ,3,3,0,3,,,,,,,,,,,
4,465991,4886114,CA,lake,-93.425100060800006,44.127428098300001, , ,4,4,1,4,2033213,7/7/1999 0:00:00,3, , ,1.482000000000000,07040002000679,1,0,460,46003
5,465617,4888921,CA, ,-93.429958155400001,44.152682125799998, , ,5,5,0,5,,,,,,,,,,,
6,456651,4878733,LS,not on network,-93.541235610399994,44.060483223699997, , ,7,6,0,6,,,,,,,,,,,
7,456701,4878681,LS,not on network,-93.540607101099994,44.060018022500003, , ,8,7,0,7,,,,,,,,,,,
8,456293,4878733,LS, ,-93.545705233299998,44.060461962799998, , ,9,8,1,8,10595920,7/7/1999 0:00:00,3, , ,3.108000000000000,07020011000374,1,0,336,33600
9,456288,4878767,LS, ,-93.545770470199997,44.060767766799998, , ,10,9,1,9,10595920,7/7/1999 0:00:00,3, , ,3.108000000000000,07020011000374,1,0,336,33600
10,455128,4879338,LS, ,-93.560301572000000,44.065838367500000, , ,11,10,1,10,10595910,7/7/1999 0:00:00,3, , ,0.894000000000000,07020011000375,1,0,460,46003
11,453505,4877725,LS, ,-93.580424533300004,44.051215423700000, , ,13,11,1,11,10596156,7/7/1999 0:00:00,3, , ,4.195000000000000,07020011000373,1,0,336,33600
12,452124,4874486,LS, ,-93.597370420100006,44.021965953900001, , ,14,12,1,12,10595948,7/7/1999 0:00:00,3,646550,Le Sueur River,6.008000000000000,07020011000079,1,0,460,46006
13,436711,4858659,LS,lake,-93.787785131999996,43.878312420699999, , ,15,13,1,13,10597148,7/7/1999 0:00:00,3, , ,2.288000000000000,07020011000260,1,0,460,46003
14,436318,4860127,LS, ,-93.792851787199993,43.891494747300001, , ,16,14,1,14,10597136,7/7/1999 0:00:00,3, , ,7.197000000000000,07020011000261,1,0,336,33600
15,433491,4859493,LS, ,-93.827965791400004,43.885537403500003, , ,17,15,1,15,10596860,7/7/1999 0:00:00,3,641371,Cobb River,9.773000000000000,07020011000102,1,0,460,46006
16,433647,4857729,LS,wetland,-93.825804587099995,43.869670577199997, , ,18,16,1,16,10596888,7/7/1999 0:00:00,3,641371,Cobb River,8.210000000000001,07020011000103,1,0,460,46006
17,430091,4855358,LS,internal lake,-93.869745962600007,43.847996830400000, , ,20,17,0,17,,,,,,,,,,,
18,423583,4882468,LS, ,-93.954603380099996,44.091404656100003, , ,21,18,3,18,10595866,7/7/1999 0:00:00,3,646550,Le Sueur River,1.763000000000000,07020011000065,1,0,460,46006
19,447846,4850120,LS,lake,-93.648359679199999,43.802305632299998, , ,22,19,1,19,10597180,7/7/1999 0:00:00,3,641371,Cobb River,12.157000000000000,07020011000242,1,0,460,46006
20,449852,4847890,LS,lake,-93.623214620599995,43.782367010599998, , ,23,20,1,20,10597180,7/7/1999 0:00:00,3,641371,Cobb River,12.157000000000000,07020011000242,1,0,460,46006
21,456094,4844546,LS, ,-93.545372214500006,43.752656067200000, , ,24,21,1,21,10597206,7/7/1999 0:00:00,3, , ,6.088000000000000,07020011000114,1,0,336,33600
22,444676,4852782,LS,lake,-93.688040371400007,43.826041680000003, , ,26,22,1,22,10597180,7/7/1999 0:00:00,3,641371,Cobb River,12.157000000000000,07020011000242,1,0,460,46006
23,448703,4852339,LS, ,-93.637919046799993,43.822343779999997, , ,27,23,1,23,10596940,4/24/2009 0:00:00,3,641368,Cobb Creek,8.161000000000000,07020011000109,1,0,460,46006
24,452969,4844984,LS,lake,-93.584225402900003,43.756407768300001, , ,28,24,1,24,10596996,7/7/1999 0:00:00,3,641371,Cobb River,5.633000000000000,07020011000243,1,0,460,46003
25,455234,4849850,LS, ,-93.556496798599994,43.800358834599997, , ,29,25,1,25,10596976,7/7/1999 0:00:00,3, , ,6.835000000000000,07020011000111,1,0,336,33600
26,456629,4839547,LS, ,-93.538323794999997,43.707678894899999,inlet, ,30,26,1,26,10597212,7/7/1999 0:00:00,3,641371,Cobb River,3.714000000000000,07020011000247,1,0,460,46006
27,427222,4878471,LS, ,-93.908599950400003,44.055793389800002, , ,31,27,1,27,10595926,7/7/1999 0:00:00,3, , ,8.541000000000000,07020011000321,1,0,460,46003
28,457869,4873584,LS, ,-93.525618911999999,44.014197437400000, , ,32,28,2,28,10595972,7/7/1999 0:00:00,3,646550,Le Sueur River,2.997000000000000,07020011000081,1,0,460,46006
29,446529,4875801,LS, ,-93.667310126100006,44.033418406400003, , ,34,29,1,29,10596160,7/7/1999 0:00:00,3,646550,Le Sueur River,24.896000000000001,07020011000075,1,0,460,46006
30,440051,4861692,LS, ,-93.746555351300003,43.905897286200002, , ,36,30,1,30,10596834,7/7/1999 0:00:00,3, , ,0.536000000000000,07020011000263,1,0,336,33600
31,430419,4878251,LS, ,-93.868662564199994,44.054123284299997,inlet, ,37,31,1,31,10595924,7/7/1999 0:00:00,3, , ,2.420000000000000,07020011000328,1,0,460,46006
32,428973,4878673,LS,lake,-93.886769283099994,44.057783605799997, , ,38,32,1,32,10595922,7/7/1999 0:00:00,3, , ,1.852000000000000,07020011000326,1,0,460,46006
33,428850,4879731,LS, ,-93.888447188900003,44.067296139000000, , ,39,33,1,33,10595908,7/7/1999 0:00:00,3, , ,4.550000000000000,07020011000329,1,0,460,46003
34,425888,4879573,LS, ,-93.925406720100000,44.065580206900002, , ,40,34,1,34,10595926,7/7/1999 0:00:00,3, , ,8.541000000000000,07020011000321,1,0,460,46003
35,424916,4881194,LS, ,-93.937772516500004,44.080073808300000, , ,41,35,1,35,10595926,7/7/1999 0:00:00,3, , ,8.541000000000000,07020011000321,1,0,460,46003
36,436874,4890311,LS,lake,-93.789529046599995,44.163277463699998, , ,42,36,1,36,10596130,7/7/1999 0:00:00,3, , ,4.626000000000000,07020011000464,1,0,460,46003
37,460182,4871871,LS, ,-93.496634742799998,43.998904123099997, , ,46,37,1,37,10597094,4/24/2009 0:00:00,3,646842,Little Le Sueur River,1.428000000000000,07020011000358,1,0,460,46006
38,463399,4871300,LS, ,-93.456472231399999,43.993930630300000, ,Yes,47,38,1,38,10596708,4/24/2009 0:00:00,3,646842,Little Le Sueur River,2.522000000000000,07020011000363,1,0,460,46006
39,467406,4871389,LS, ,-93.406505408699999,43.994920633800000, , ,48,39,1,39,10597098,4/24/2009 0:00:00,3,646842,Little Le Sueur River,3.937000000000000,07020011000364,1,0,460,46006
40,470622,4871236,LS, ,-93.366388523799998,43.993678776499998, , ,49,40,1,40,10596712,4/24/2009 0:00:00,3,646842,Little Le Sueur River,2.003000000000000,07020011000364,1,0,460,46003
41,431559,4881464,LS, ,-93.854848394800001,44.083155300400001, ,Yes,50,41,1,41,10595878,7/7/1999 0:00:00,3,646550,Le Sueur River,4.040000000000000,07020011000072,1,0,460,46006
42,420841,4881755,LS, ,-93.988744622200002,44.084694897399999, ,Yes,51,42,1,42,10595874,7/7/1999 0:00:00,3,646550,Le Sueur River,4.695000000000000,07020011000064,1,0,460,46006
43,419840,4877608,LS, ,-94.000616735400001,44.047254601600002, ,Yes,52,43,3,43,10596224,7/7/1999 0:00:00,3,641371,Cobb River,0.178000000000000,07020011000042,1,0,334,33400
44,417819,4879645,LS, ,-94.026157056700001,44.065367918100002, ,Yes,53,44,1,44,10596394,7/12/1999 0:00:00,3,647499,Maple River,17.963000000000001,07020011000008,1,0,460,46006
45,414053,4865211,LS, ,-94.070833645899995,43.935002054300000, ,Yes,54,45,1,45,10597374,7/13/1999 0:00:00,3,647499,Maple River,6.349000000000000,07020011000011,1,0,460,46006
46,416639,4884587,LS, ,-94.041669315600004,44.109721944400000, ,Yes,55,46,1,46,10596370,7/12/1999 0:00:00,3,646550,Le Sueur River,2.533000000000000,07020011000005,1,0,460,46006
47,427171,4871904,LS, ,-93.908333303999996,43.996669999300003, ,Yes,56,47,1,47,10596716,4/3/2000 0:00:00,3,646783,Little Cobb River,2.174000000000000,07020011000116,1,0,460,46006
48,423178,4874272,LS, ,-93.958471065400005,44.017580570900002, ,Yes,58,48,1,48,10595950,7/7/1999 0:00:00,3, , ,4.875000000000000,07020011000317,1,0,460,46003
