OID_,OBJECTID,Site_ID,Shape_Leng,Shape_Area,WS_area
0,1,260,14220.000000000000000,5505300.000000000000000,5.505300000000000
1,2,261,38820.000000000000000,39025800.000000000000000,39.025799999999997
2,3,262,20100.000000000000000,6795000.000000000000000,6.795000000000000
3,4,220,35880.000000000000000,27026100.000000000000000,27.026100000000000
4,5,230,20820.000000000000000,11542500.000000000000000,11.542500000000000
5,6,221,345180.000000000000000,1081845000.000000000000000,1081.845000000000027
6,7,231,14760.000000000000000,5330700.000000000000000,5.330700000000000
7,8,209,25920.000000000000000,13962600.000000000000000,13.962600000000000
8,9,208,16500.000000000000000,7878600.000000000000000,7.878600000000000
9,10,232,4919.999999990000106,698399.999998999992386,0.698399999999000
10,11,233,7739.999999990000106,2128500.000000000000000,2.128500000000000
11,12,222,16260.000000000000000,4577400.000000000000000,4.577400000000000
12,14,219,27840.000000000000000,16635600.000000000000000,16.635600000000000
13,15,214,20100.000000000000000,10197900.000000000000000,10.197900000000001
14,16,213,18360.000000000000000,9302400.000000000000000,9.302400000000000
15,17,215,17220.000000000000000,7937100.000000000000000,7.937100000000000
16,18,235,54780.000000000000000,40932900.000000000000000,40.932899999999997
17,19,229,42900.000000000000000,30852900.000000000000000,30.852900000000002
18,20,237,164640.000000000000000,449674200.000000000000000,449.674199999999985
19,21,228,18780.000000000000000,8303400.000000000000000,8.303400000000000
20,22,236,30840.000000000000000,15961500.000000000000000,15.961499999999999
21,23,223,46440.000000000000000,45220500.000000000000000,45.220500000000001
22,24,234,123600.000000000000000,229989600.000000000000000,229.989599999999996
23,25,248,10080.000000000000000,3215700.000000000000000,3.215700000000000
24,26,239,111600.000000000000000,170270100.000000000000000,170.270100000000014
25,27,238,109020.000000000000000,221444100.000000000000000,221.444099999999992
26,28,245,20640.000000000000000,11214000.000000000000000,11.214000000000000
27,29,240,88980.000000000000000,122600700.000000000000000,122.600700000000003
28,30,243,6660.000000009999894,1763100.000000000000000,1.763100000000000
29,31, 242,6899.999999990000106,1817100.000000000000000,1.817100000000000
30,32,249,9600.000000010000804,2006100.000000000000000,2.006100000000000
31,33,227,12300.000000000000000,5094000.000000000000000,5.094000000000000
32,34,241,62040.000000000000000,80834400.000000000000000,80.834400000000002
33,35,246,4500.000000000000000,767700.000001000007614,0.767700000001000
