"Station_name","Station_number","Behavior","CVc.CVq","Slope1","p1","R2v1","n1","Slope2","p2","R2v2","n2","Pct_slope_change"
"Brule River nr Hovland, MN61","01022001","chemodynamic",0.94,0.14,0.17,0.1,21,0.14,0.2,0.09,20,2.09
"Poplar River nr Lutsen, 0.2mi US of MN61","01063003","chemodynamic",0.75,0.05,0.2,0.01,167,0.04,0.42,0,160,-29.4
"Baptism River nr Beaver Bay, MN61","01092001","chemodynamic",0.66,0.04,0.21,0.01,184,0.05,0.14,0.01,175,30.8
"Beaver River nr Beaver Bay, 1.2mi us of MN61","02006003","chemodynamic",0.51,0.09,0.2,0.04,48,0.07,0.42,0.02,44,-24.03
"Big Sucker Creek nr Palmers, CR258","02031002","chemodynamic",0.6,0.03,0.4,0,162,0.01,0.71,0,158,-54.47
"St. Louis River at Floodwood, CSAH8","03034001","mobilizing",0.99,0.24,0,0.09,87,0.3,0,0.12,82,21.11
"St. Louis River nr Forbes, US53","03115001","mobilizing",0.58,0.15,0.01,0.06,120,0.13,0.05,0.03,111,-13.42
"Second Creek nr Aurora, 0.6mi us of CSAH110","03150001","mobilizing",1.48,0.18,0.04,0.04,108,0.2,0.06,0.04,99,8.43
"St. Louis River at Scanlon, MN","03174001","mobilizing",1.08,0.24,0,0.11,138,0.2,0,0.06,127,-16.9
"Cloquet River nr Brimson, CSAH44","04012001","chemodynamic",0.62,-0.03,0.75,0,80,-0.13,0.29,0.02,73,325.35
"Cloquet River nr Burnett, CR694","04048001","chemodynamic",1.04,0.03,0.59,0,142,-0.02,0.77,0,129,-165.87
"Nemadji River nr Pleasant Valley, MN23","05011001","mobilizing",0.88,0.3,0,0.31,68,0.28,0,0.26,62,-7.72
"Mississippi River nr Bemidji, CSAH11","07062001","chemodynamic",1.13,-0.22,0.18,0.04,44,-0.19,0.32,0.03,41,-16.08
"Mississippi River nr Bemidji, MN","07115001","chemodynamic",1.89,-0.02,0.92,0,42,-0.12,0.66,0.01,38,449.62
"Leech Lake River nr Ball Club, CR139","08034001","chemodynamic",1.63,0.05,0.68,0,77,0.05,0.76,0,69,-13.76
"Boy River nr Boy River, CSAH53","08046001","chemodynamic",1.77,0.28,0.09,0.06,49,0.29,0.14,0.05,44,0.7
"Prairie River nr Taconite, MN","09020001","chemodynamic",0.56,-0.13,0.08,0.05,59,-0.18,0.05,0.08,53,33.85
"Mississippi River at Grand Rapids, MN","09064001","mobilizing",1.32,0.27,0,0.06,184,0.42,0,0.11,171,56.08
"Swan River nr Jacobson, CR438","09065001","chemodynamic",0.94,-0.19,0.2,0.03,55,-0.22,0.24,0.03,51,14.27
"Swan River nr Sobieski, MN238","10065002","mobilizing",1.06,0.52,0,0.26,62,0.57,0,0.27,59,9.49
"Pine River nr Jenkins, CSAH15","11015001","chemodynamic",0.62,0.23,0.21,0.08,22,0.36,0.1,0.15,20,60.81
