"Site_ID","Date","Flow_L","TSS_mgL","TP_mgL","DOP_mgL","NO2.NO3_mgL","NH3_mgL","TKN_mgL","Chloride_mgL","Year","PP_mgL","Month","Season","Type"
"BE1-F",2011-06-14,48.5810610412498,395,1.33,0.497,15.1,0.08,4.7,12.1,"2011",0.833,6,"Early Summer","Flume"
"BE1-F",2011-06-15,79.8172286075903,64.5568092960323,0.771878793180966,0.514718133549811,17.8463107002206,0.142013467424337,3.94697932413305,5.32281391719745,"2011",0.257160659631156,6,"Early Summer","Flume"
"BE1-F",2011-06-21,61.3899468627734,1329.47281618663,2.53298357743272,0.315513817085949,4.85649306369759,0.08,8.19736408093314,13.1526677935976,"2011",2.21746976034677,6,"Early Summer","Flume"
"BE1-F",2011-06-22,124.884550963305,654.448623811045,1.39512614965247,0.313185063077287,1.45464856565046,0.08,4.62083436754866,7.9341596235976,"2011",1.08194108657518,6,"Early Summer","Flume"
"BE1-F",2011-07-14,9.63018663256759,1400,0.924,0.268,0.99,0.08,7.7,15.9,"2011",0.656,7,"Early Summer","Flume"
"BE1-F",2011-07-15,417.750267806337,1084.1345934083,1.35642699175063,0.461706124503819,1.1736005924133,0.08,3.48344210946746,10.3007938998984,"2011",0.894720867246811,7,"Early Summer","Flume"
"BE1-F",2012-02-28,82.63776,112,0.408,0.239,0.44,0.08,1.3,3.2,"2012",0.169,2,"Late Winter","Flume"
"BE1-F",2012-02-29,629.58192,112,0.408,0.239,0.44,0.08,1.3,3.2,"2012",0.169,2,"Late Winter","Flume"
"BE1-F",2012-03-01,28.8864,112,0.408,0.239,0.44,0.08,1.3,3.2,"2012",0.169,3,"Late Winter","Flume"
"BE1-F",2012-05-02,3.05856,832,1.618,0.15,1.56,0.26,11.3,42.9,"2012",1.468,5,"Spring","Flume"
"BE1-F",2012-05-04,0.39648,630,0.676,0.182,2.81,0.08,3,42.9,"2012",0.494,5,"Spring","Flume"
"BE1-F",2012-05-05,1060.55568,630,0.676,0.182,2.81,0.08,3,42.9,"2012",0.494,5,"Spring","Flume"
"BE1-F",2012-05-06,1074.51744,630,0.676,0.182,2.81,0.08,3,42.9,"2012",0.494,5,"Spring","Flume"
"BE1-F",2012-05-07,2.124,630,0.676,0.182,2.81,0.08,3,42.9,"2012",0.494,5,"Spring","Flume"
"BE1-F",2012-05-24,40.83744,832,1.618,0.15,1.56,0.26,11.3,42.9,"2012",1.468,5,"Spring","Flume"
"BE1-F",2012-05-26,6343.84992,854.288679767506,1.97332683053132,0.145813643384552,1.26583359374302,0.326589198503612,14.3131197378642,43.2856794014446,"2012",1.82751318714677,5,"Spring","Flume"
"BE1-F",2012-05-28,796.98144,1230,1.51,0.098,0.37,0.23,10.8,39.8,"2012",1.412,5,"Spring","Flume"
"BE1-F",2012-05-31,0.79296,832,1.618,0.15,1.56,0.26,11.3,42.9,"2012",1.468,5,"Spring","Flume"
"BE1-F",2013-02-13,117.64128,16,0.599,0.444,1.65,3.27,4.8,4.1,"2013",0.155,2,"Late Winter","Flume"
"BE1-F",2013-02-14,766.93392,28.5187400760681,0.696972748421402,0.492986374210701,1.32886710239651,3.11759794690004,5.01771721871423,4.1,"2013",0.203986374210701,2,"Late Winter","Flume"
"BE1-F",2013-03-09,5407.95888,1.60981153022377,0.280931938269471,0.243741661822695,0.48954131515142,1.59946323556365,2.10954288616928,1.5,"2013",0.0371902764467765,3,"Late Winter","Flume"
"BE1-F",2013-03-10,5752.66992,1,0.4,0.36,0.52,1.95,3,1.5,"2013",0.04,3,"Late Winter","Flume"
"BE1-F",2013-03-11,4979.7888,1,0.4,0.36,0.52,1.95,3,1.5,"2013",0.04,3,"Late Winter","Flume"
"BE1-F",2013-03-12,3.1152,1,0.4,0.36,0.52,1.95,3,1.5,"2013",0.04,3,"Late Winter","Flume"
"BE1-F",2013-03-14,67.20336,37,1.035,0.68,0.815,5.205,7.55,3.9,"2013",0.355,3,"Late Winter","Flume"
"BE1-F",2013-03-15,6345.40752,33.4036936370006,1.05972460624562,0.690788919088998,0.812752308523125,5.33311841418185,7.43761542615627,3.81009234092502,"2013",0.368935687156623,3,"Late Winter","Flume"
"BE1-F",2013-03-16,2478.11328,29,1.09,0.704,0.81,5.49,7.3,3.7,"2013",0.386,3,"Late Winter","Flume"
"BE1-F",2013-03-22,3374.27136,46.724225333199,1.25821344042703,0.901476231241817,0.357134572128781,6.0118304125961,9.05393124517407,4.85230469667976,"2013",0.356737209185215,3,"Late Winter","Flume"
"BE1-F",2013-03-23,1230.3624,29,0.945,0.682,0.65,5.11,7.8,4.9,"2013",0.263,3,"Late Winter","Flume"
"BE1-F",2013-03-25,1589.54496,47,1.13,0.809,0.3,5.42,8.6,4.4,"2013",0.321,3,"Late Winter","Flume"
"BE1-F",2013-03-26,2733.53136,111,1.23,0.836,0.36,6,9.2,5,"2013",0.394,3,"Late Winter","Flume"
"BE1-F",2013-03-27,2435.3784,122.59706959707,1.26811837897552,0.837245793360079,0.331876853305425,6.31412256526542,10.2143066457352,6.03210884353742,"2013",0.430872585615443,3,"Late Winter","Flume"
"BE1-F",2013-03-28,1466.15472,41,1.2,0.712,0.96,6.43,9.9,6,"2013",0.488,3,"Late Winter","Flume"
"BE1-F",2013-03-29,1057.72368,34,1.04,0.817,1.32,5.91,8.6,10.1,"2013",0.223,3,"Late Winter","Flume"
"BE1-F",2013-03-30,250.9152,34,1.04,0.817,1.32,5.91,8.6,10.1,"2013",0.223,3,"Late Winter","Flume"
"BE1-F",2013-04-21,547.05744,22,0.812,0.629,13.8,0.23,1.7,3.5,"2013",0.183,4,"Spring","Flume"
"BE1-F",2013-04-22,67.14672,22,0.812,0.629,13.8,0.23,1.7,3.5,"2013",0.183,4,"Spring","Flume"
"BE1-F",2013-04-24,379.51632,22,0.812,0.629,13.8,0.23,1.7,3.5,"2013",0.183,4,"Spring","Flume"
"BE1-F",2013-04-25,36.6744,21.372972972973,0.813343629343629,0.631597683397683,13.8447876447876,0.223281853281853,1.69552123552124,3.5,"2013",0.181745945945946,4,"Spring","Flume"
"BE1-F",2013-06-12,22.9392,1715,1.0495,0.1835,10.65,0.295,6.95,4.75,"2013",0.866,6,"Early Summer","Flume"
"BE1-F",2013-06-21,182.91888,1715,1.0495,0.1835,10.65,0.295,6.95,4.75,"2013",0.866,6,"Early Summer","Flume"
"BE1-F",2013-06-22,1008.73008,1715,1.0495,0.1835,10.65,0.295,6.95,4.75,"2013",0.866,6,"Early Summer","Flume"
