"Var","Imp"
"PctCrop2019CatRp100",0.00949835879866296
"PctCrop2019WsRp100",0.00943722962511147
"KffactCat",0.0090592427757212
"PermCat",0.00571599886117102
"AgKffactWs",0.00529209954539276
"PctMxFst2019WsRp100",0.00509842479728607
"PctUrbOp2019CatRp100",0.00454331872382167
"Precip_Minus_EVTWs",0.00436422810241229
"ClayWs",0.00422349932192775
"PctWdWet2019WsRp100",0.00404122092641008
"PctGrs2019Ws",0.00397876203928598
"Pestic97Cat",0.00388025759688116
"MAST_2013",0.00380454733668488
"Phos_Crop_UptakeWs",0.00371470741487919
"FertWs",0.00353631311218613
"WWTPAllDensWs",0.00332769525321137
"SiO2Cat",0.00315096805259195
"PctHay2019Cat",0.00315084393819078
"RdCrsSlpWtdCat",0.00311529761753443
"PctImp2013CatRp100",0.00309552334053347
"Al2O3Cat",0.00300715933471481
"PctGlacLakeFineWs",0.00298811557575635
"PctCrop2019Ws",0.00293029430306918
"CompStrgthCat",0.00286024232585493
"NsurpCat",0.0028533611695262
"K2OCat",0.00266810444822131
"AgKffactCat",0.00265704061465375
"NABD_NIDStorWs",0.00256754532655463
"PctMxFst2019Ws",0.00246391582266872
"ElevWs",0.00244897630152433
"PctOw2019Cat",0.00240281872394747
"PctDecid2019CatRp100",0.00202790057235466
"OmCat",0.00202711038969867
"PctCrop2019Cat",0.00186436976925993
"WaterInputCat",0.00186269649434534
"FertCat",0.00178369891391755
"PctDecid2019Cat",0.00170948284543164
"NO3_2008Ws",0.0016890408831984
"Phos_FertCat",0.00165860654825652
"MAST_2014",0.00158936954285634
"Na2OCat",0.00158643042413569
"WaterInputWs",0.00150687548388653
"RockNWs",0.00148086778744678
"Pestic97Ws",0.00145899462986585
"PctUrbMd2019CatRp100",0.00140168600647735
"MSST_2014",0.00138690258520065
"MgOCat",0.00134311918915425
"MWST_2013",0.00131505334681484
"PctHbWet2019Cat",0.00129817504440606
"Fe2O3Cat",0.00126963496904995
"PctShrb2019Ws",0.00126473706676711
"HydrlCondCat",0.00122005539168842
"RdDensWs",0.00121147955699166
"Phos_ManureCat",0.00120994290065429
"PctWdWet2019Ws",0.00119132761374461
"RdCrsWs",0.0011754658050778
"NPDESDensWs",0.00115629632485736
"PctImp2008Ws",0.00115222122467358
