"Site_ID","MeanSRP","StreamType","Outlet_typ"
"11",0.088933881915,"Intermittent Stream/River"," "
"13",0.0909828387,"Ditch"," "
"14",0.049827532235,"Perennial Stream/River"," "
"15",0.5240261227,"Intermittent Stream/River","lake"
"200",0.044986259535,"Perennial Stream/River"," "
"201",0.08206570479,"Perennial Stream/River"," "
"202",0.0660299326,"Perennial Stream/River"," "
"203",0.057637421545,"Perennial Stream/River"," "
"22",0.01728686136,"Perennial Stream/River","lake"
"23",-0.001626663761,"Perennial Stream/River","lake"
"26",0.004088784604,"Perennial Stream/River","lake"
"28",-0.000414456608,"Intermittent Stream/River","lake"
"32",0.01055279443,"Perennial Stream/River"," "
"34",0.0509628468,"Perennial Stream/River"," "
"36",0.05861338028,"Ditch"," "
"37",0.1540447154,"Perennial Stream/River"," "
"38",0.06392137465,"Perennial Stream/River","lake"
"47",0.05668336226,"Perennial Stream/River"," "
"51",-0.004555078227,"Perennial Stream/River"," "
"53",0.004003024984,"Perennial Stream/River"," "
"54",0.0488465337825,"Perennial Stream/River"," "
"56",0.143652621,"Perennial Stream/River"," "
"58",0.17051777674,"Intermittent Stream/River"," "
"68",0.03170372664,"Ditch"," "
"75",0.7502154,"Intermittent Stream/River","wetland"
"76",0.34213577375,"Intermittent Stream/River"," "
"77",0.08007237257,"Ditch","lake"
"79",1.197642071,"Ditch"," "
"87",0.1205650298,"Perennial Stream/River"," "
"91",0.01792089565,"Perennial Stream/River"," "
"94",-0.002130779005,"Perennial Stream/River"," "
"95",0.12700253327,"Perennial Stream/River"," "
"96",0.04506771294,"Perennial Stream/River"," "
