Site name,Drainage Area (km2),Human Impact,WWTP Density (sites/km2),Spring,Early Summer,Late Summer,Fall,Early Winter,Late Winter
"Brule River nr Hovland, MN61",544.30,Less Impacted,0,NA,NA,NA,NA,NA,NA
"Poplar River nr Lutsen, 0.2mi US of MN61",293.29,Less Impacted,0.003,NA,NA,0.003,0.003,0.004,0.003
"Baptism River nr Beaver Bay, MN61",358.44,Less Impacted,0.003,NA,NA,0.004,NA,0.006,0.003
"Beaver River nr Beaver Bay, 1.2mi us of MN61",318.73,Impacted,0.003,NA,NA,0.003,NA,NA,NA
"Big Sucker Creek nr Palmers, CR258",93.48,Less Impacted,0,NA,0.003,0.003,NA,0.011,0.009
"St. Louis River at Floodwood, CSAH8",4978.62,Impacted,0.004,0.002,NA,0.011,NA,NA,NA
"St. Louis River nr Forbes, US53",1793.51,Impacted,0.006,0.003,NA,0.004,0.003,NA,NA
"Second Creek nr Aurora, 0.6mi us of CSAH110",56.66,Impacted,0,NA,NA,0.004,0.002,NA,0.006
"St. Louis River at Scanlon, MN",8893.21,Impacted,0.003,NA,0.009,0.004,NA,0.007,NA
"Cloquet River nr Brimson, CSAH44",330.99,Less Impacted,0,NA,NA,0.004,NA,NA,NA
"Cloquet River nr Burnett, CR694",2032.29,Less Impacted,0.001,0.005,0.005,0.003,NA,0.008,NA
"Nemadji River nr Pleasant Valley, MN23",324.41,Impacted,0,NA,NA,0.005,NA,NA,NA
"Mississippi River nr Bemidji, CSAH11",958.60,Impacted,0.001,NA,0.028,0.03,NA,NA,NA
"Mississippi River nr Bemidji, MN",1627.93,Impacted,0.002,NA,0.003,0.003,NA,NA,NA
"Leech Lake River nr Ball Club, CR139",3464.53,Impacted,0.001,0.004,0.003,0.004,NA,NA,NA
"Boy River nr Boy River, CSAH53",750.13,Less Impacted,0.001,NA,NA,0.002,NA,NA,NA
"Prairie River nr Taconite, MN",79.80,Impacted,0,0.006,NA,0.005,NA,NA,0.006
"Mississippi River at Grand Rapids, MN",8483.32,Impacted,0.001,0.003,0.003,0.005,0.007,NA,0.003
"Swan River nr Jacobson, CR438",758.11,Impacted,0.012,NA,NA,0.018,NA,NA,NA
"Swan River nr Sobieski, MN238",462.60,Impacted,0.002,NA,NA,0.021,NA,NA,NA
"Pine River nr Jenkins, CSAH15",743.11,Impacted,0,NA,NA,NA,NA,NA,NA
"Leaf River nr Staples, CSAH29",2232.34,Impacted,0.003,NA,NA,0.022,NA,0.013,0.025
"Long Prairie River at Philbrook, 313th Ave",2346.60,Impacted,0.005,NA,0.035,0.023,NA,0.024,0.022
"Long Prairie River at Long Prairie, MN",1271.78,Impacted,0.005,0.014,NA,NA,NA,NA,0.016
"Two Rivers nr Bowlus, 40th St",386.26,Impacted,0.008,NA,NA,NA,NA,NA,NA
"Sauk River nr St. Martin, CR12",2887.54,Impacted,0.005,0.018,NA,0.059,NA,NA,NA
"Clearwater River nr Clearwater, CR145",436.24,Impacted,0.002,0.008,NA,0.003,NA,NA,NA
"Elk River nr Big Lake, MN",1373.83,Impacted,0.003,NA,0.027,NA,NA,NA,NA
"St. Francis River nr Big Lake, 164th St",530.84,Impacted,0,NA,0.02,0.013,NA,NA,NA
"Middle Fork Crow River nr Manannah, CSAH30",702.11,Impacted,0.006,0.01,0.022,0.012,NA,NA,NA
"North Fork Crow River nr Cokato, CSAH4",2638.30,Impacted,0.004,NA,0.07,0.031,NA,NA,NA
"North Fork Crow River nr Rockford, Farmington Ave",3444.89,Impacted,0.005,NA,NA,0.02,0.021,0.031,0.045
"South Fork Crow River at Delano, Bridge Ave",3295.67,Impacted,0.004,NA,NA,0.182,0.239,0.168,0.218
"Buffalo Creek nr Glencoe, CSAH1",969.28,Impacted,0.004,NA,NA,0.793,NA,NA,NA
"West Branch Rum River nr Princeton, CR102",482.91,Impacted,0.006,NA,NA,NA,NA,NA,NA
"Rum River at Anoka,headwater side of dam",4113.49,Impacted,0.004,NA,0.043,NA,NA,0.01,0.015
"Minnesota River nr Lac qui Parle, MN",10546.93,Impacted,0.003,NA,NA,0.085,0.055,0.094,0.126
"Yellow Bank River nr Odessa, CSAH40",1191.21,Impacted,0.004,NA,NA,0.03,NA,0.021,0.31
"Pomme De Terre River at Appleton, MN",2227.38,Impacted,0.002,NA,NA,NA,NA,0.024,0.082
"Pomme de Terre River nr Hoffman, CR76",1026.90,Impacted,0.002,NA,NA,0.013,0.01,NA,NA
"Lac qui Parle River nr Lac qui Parle, CSAH31",2487.56,Impacted,0.004,NA,0.042,0.019,NA,0.028,0.063
"Lac qui Parle River nr Providence, CSAH23",983.91,Impacted,0.004,NA,NA,0.023,NA,NA,NA
"West Branch Lac qui Parle River at Dawson, Diagonal St",1220.43,Impacted,0.002,NA,NA,0.083,NA,NA,NA
"Hawk Creek nr Maynard, MN23",1226.46,Impacted,0.003,NA,0.056,0.051,0.034,NA,NA
"Hawk Creek nr Granite Falls, CR52",1321.42,Impacted,0.003,NA,0.003,0.01,0.013,0.083,0.158
"Beaver Creek nr Beaver Falls, CSAH2",495.39,Impacted,0.004,NA,NA,0.053,0.041,NA,NA
"Yellow Medicine River nr Granite Falls, MN",1716.39,Impacted,0.002,NA,NA,0.034,0.012,0.02,0.35
"Yellow Medicine River nr Hanley Falls, CR18",1171.62,Impacted,0.001,NA,NA,0.019,0.027,NA,NA
"Spring Creek nr Hanley Falls, 480th St",332.81,Impacted,0.006,NA,NA,0.293,NA,NA,NA
"Chippewa River nr Clontarf, CSAH22",1731.39,Impacted,0.004,NA,NA,0.016,0.009,NA,NA
"Shakopee Creek nr Benson, 20th Ave SW",786.32,Impacted,0,0.006,NA,0.141,NA,NA,0.024
"Chippewa River nr Milan, MN40",4626.36,Impacted,0.002,NA,NA,0.022,0.009,0.02,0.027
"East Branch Chippewa River nr Benson, CR78",1305.27,Impacted,0.001,NA,0.043,0.048,0.019,NA,NA
"Redwood River nr Redwood Falls, MN",1619.96,Impacted,0.003,NA,NA,0.099,0.731,1.175,1.247
"Redwood River at Russell, CR15",599.04,Impacted,0,NA,NA,0.035,0.015,NA,NA
"Minnesota River at Morton, MN",23008.88,Impacted,0.003,NA,NA,0.046,0.058,0.098,0.141
"Minnesota River at Judson, CSAH42",28865.06,Impacted,0.003,NA,0.01,0.027,0.028,0.04,0.08
"Seven Mile Creek nr St. Peter, 0.6mi us of US169",94.16,Impacted,0,0.008,0.015,0.016,0.012,NA,0.027
"Cottonwood River nr New Ulm, MN68",3374.02,Impacted,0.003,0.01,0.007,0.007,0.007,0.016,0.048
"Sleepy Eye Creek nr Cobden, CR8",706.81,Impacted,0,NA,NA,0.022,0.021,NA,NA
"Cottonwood River nr Leavenworth, CR8",2281.68,Impacted,0.004,NA,NA,0.013,NA,NA,NA
"Blue Earth River nr Winnebago, CSAH12",3592.84,Impacted,0.004,NA,NA,0.027,0.025,NA,NA
"East Branch Blue Earth River at Blue Earth, CSAH16",764.22,Impacted,0.003,NA,NA,0.071,0.062,NA,NA
