"Predictor","Importance","Description"
"PctCrop2019CatRp100",0.00949835879866296,"% of AOI area classified as crop land use (NLCD class 82)"
"PctCrop2019WsRp100",0.00943722962511147,"% of AOI area classified as crop land use (NLCD class 82)"
"KffactCat",0.0090592427757212,"Mean of STATSGO Kffactor raster within AOI. The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall"
"PermCat",0.00571599886117102,"Mean permeability (cm/hour) of soils (STATSGO) within AOI "
"AgKffactWs",0.00529209954539276,"Mean of STATSGO Kffactor raster on agricultural land (NLCD 2006) within AOI. The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall"
"PctMxFst2019WsRp100",0.00509842479728607,"% of AOI area classified as mixed deciduous/evergreen forest land cover (NLCD class 43)"
"PctUrbOp2019CatRp100",0.00454331872382167,"% of AOI area classified as developed, open space land use (NLCD class 21)"
"Precip_Minus_EVTWs",0.00436422810241229,"This dataset represents surplus precipitation (mm): precipitation minus potential evaporation described in DOI: 10.1016/j.scitotenv.2020.137661 within individual,  local NHDPlusV2 catchments and upstream, contributing watersheds."
"ClayWs",0.00422349932192775,"Mean % clay content of soils (STATSGO) within AOI "
"PctWdWet2019WsRp100",0.00404122092641008,"% of AOI area classified as woody wetland land cover (NLCD class 90)"
"PctGrs2019Ws",0.00397876203928598,"% of AOI area classified as grassland/herbaceous land cover (NLCD class 71)"
"Pestic97Cat",0.00388025759688116,"Mean pesticide use (kg/km2) in yr. 1997 within AOI."
"MAST_2013",0.00380454733668488,"Predicted mean annual stream temperature (Jan-Dec) for year 2008, 2009, 2013, 2014"
"Phos_Crop_UptakeWs",0.0037147074,"Phosphorus uptake by crops in the watershed"
"FertWs",0.00353631311218613,"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the AOI"
"WWTPAllDensWs",0.00332769525321137,"Density (number/ km2) of all wastewater treatment plants per AOI"
"SiO2Cat",0.00315096805259195,"Mean % of lithological silicon dioxide (SiO2) content in surface or near surface geology within AOI"
"PctHay2019Cat",0.00315084393819078,"% of AOI area classified as hay land use (NLCD class 81)"
"RdCrsSlpWtdCat",0.00311529761753443,"Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) multiplied by NHDPlusV21 slope within AOI (crossings*slope/square km)"
"PctImp2013CatRp100",0.00309552334053347,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
"Al2O3Cat",0.00300715933471481,"Mean % of lithological aluminum oxide (Al2O3) content in surface or near surface geology within AOI"
"PctGlacLakeFineWs",0.00298811557575635,"% of AOI area classified as lithology type: glacial lake sediment, fine-textured"
"PctCrop2019Ws",0.00293029430306918,"% of AOI area classified as crop land use (NLCD class 82)"
"CompStrgthCat",0.00286024232585493,"Mean lithological uniaxial compressive strength (megaPascals) content in surface or near surface geology within AOI"
"NsurpCat",0.0028533611695262,"Nitrogen Surplus (kg N / yr) per AOI - excluding biological N Fixation"
"K2OCat",0.00266810444822131,"Mean % of lithological potassium oxide (K2O) content in surface or near surface geology within AOI"
"AgKffactCat",0.00265704061465375,"Mean of STATSGO Kffactor raster on agricultural land (NLCD 2006) within AOI. The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall"
"NABD_NIDStorWs",0.00256754532655463,"Volume all reservoirs (NID_STORA in NID) per unit area of AOI (cubic meters/square km)"
"PctMxFst2019Ws",0.00246391582266872,"% of AOI area classified as mixed deciduous/evergreen forest land cover (NLCD class 43)"
"ElevWs",0.00244897630152433,"Mean AOI elevation (m)"
"PctOw2019Cat",0.00240281872394747,"% of AOI area classified as open water land cover (NLCD class 11)"
"PctDecid2019CatRp100",0.00202790057235466,"% of AOI area classified as deciduous forest land cover (NLCD class 41)"
"OmCat",0.00202711038969867,"Mean organic matter content (% by weight) of soils (STATSGO) within AOI "
"PctCrop2019Cat",0.00186436976925993,"% of AOI area classified as crop land use (NLCD class 82)"
"WaterInputCat",0.00186269649434534,"Water Input (km2/cm): Ratio of the total area of irrigated land to precipitation within AOI"
"FertCat",0.00178369891391755,"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the AOI"
"PctDecid2019Cat",0.00170948284543164,"% of AOI area classified as deciduous forest land cover (NLCD class 41)"
"NO3_2008Ws",0.0016890408831984,"Annual gradient map of precipitation-weighted mean deposition for nitrate ion concentration wet deposition for 2008 in kg of NO3/ha/yr, within AOI"
"Phos_FertCat",0.00165860654825652,"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the AOI"
"MAST_2014",0.00158936954285634,"Predicted mean annual stream temperature (Jan-Dec) for year 2008, 2009, 2013, 2014"
"Na2OCat",0.00158643042413569,"Mean % of lithological sodium oxide (Na2O) content in surface or near surface geology within AOI"
"WaterInputWs",0.00150687548388653,"Water Input (km2/cm): Ratio of the total area of irrigated land to precipitation within AOI"
"RockNWs",0.00148086778744678,"N from rock weathering (kg/ km2) within AOI"
"Pestic97Ws",0.00145899462986585,"Mean pesticide use (kg/km2) in yr. 1997 within AOI."
"PctUrbMd2019CatRp100",0.00140168600647735,"% of AOI area classified as developed, medium-intensity land use (NLCD class 23)"
"MSST_2014",0.00138690258520065,"Predicted mean summer stream temperature (July-Aug) for years 2008, 2009, 2013, 2014"
"MgOCat",0.00134311918915425,"Mean % of lithological magnesium oxide (MgO) content in surface or near surface geology within AOI"
"MWST_2013",0.00131505334681484,"Predicted mean winter stream temperature (Jan-Feb) for year 2008, 2009, 2013, 2014"
"PctHbWet2019Cat",0.00129817504440606,"% of AOI area classified as herbaceous wetland land cover (NLCD class 95)"
"Fe2O3Cat",0.00126963496904995,"Mean % of lithological ferric oxide (Fe2O3) content in surface or near surface geology within AOI"
"PctShrb2019Ws",0.00126473706676711,"% of AOI area classified as shrub/scrub land cover (NLCD class 52)"
"HydrlCondCat",0.00122005539168842,"Mean lithological hydraulic conductivity (micrometers per second) content in surface or near surface geology within AOI"
"RdDensWs",0.00121147955699166,"Density of roads (2010 Census Tiger Lines) within AOI (km/square km)"
"Phos_ManureCat",0.00120994290065429,"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within AOI"
"PctWdWet2019Ws",0.00119132761374461,"% of AOI area classified as woody wetland land cover (NLCD class 90)"
"RdCrsWs",0.0011754658050778,"Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) within AOI (crossings/square km)"
"NPDESDensWs",0.00115629632485736,"Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within AOI (sites/square km)"
"PctImp2008Ws",0.00115222122467358,"Mean imperviousness of anthropogenic surfaces within AOI  (NLCD)"
