"P.DATA","CanalDensCat","CanalDensWs","ElevCat","ElevWs","PctOw2019Cat","PctUrbOp2019Cat","PctUrbLo2019Cat","PctUrbMd2019Cat","PctUrbHi2019Cat","PctBl2019Cat","PctDecid2019Cat","PctConif2019Cat","PctMxFst2019Cat","PctShrb2019Cat","PctGrs2019Cat","PctHay2019Cat","PctCrop2019Cat","PctWdWet2019Cat","PctHbWet2019Cat","PctOw2019Ws","PctUrbOp2019Ws","PctUrbLo2019Ws","PctUrbMd2019Ws","PctUrbHi2019Ws","PctBl2019Ws","PctDecid2019Ws","PctConif2019Ws","PctMxFst2019Ws","PctShrb2019Ws","PctGrs2019Ws","PctHay2019Ws","PctCrop2019Ws","PctWdWet2019Ws","PctHbWet2019Ws","PctOw2019CatRp100","PctUrbOp2019CatRp100","PctUrbLo2019CatRp100","PctUrbMd2019CatRp100","PctUrbHi2019CatRp100","PctBl2019CatRp100","PctDecid2019CatRp100","PctConif2019CatRp100","PctMxFst2019CatRp100","PctShrb2019CatRp100","PctGrs2019CatRp100","PctHay2019CatRp100","PctCrop2019CatRp100","PctWdWet2019CatRp100","PctHbWet2019CatRp100","PctOw2019WsRp100","PctUrbOp2019WsRp100","PctUrbLo2019WsRp100","PctUrbMd2019WsRp100","PctUrbHi2019WsRp100","PctBl2019WsRp100","PctDecid2019WsRp100","PctConif2019WsRp100","PctMxFst2019WsRp100","PctShrb2019WsRp100","PctGrs2019WsRp100","PctHay2019WsRp100","PctCrop2019WsRp100","PctWdWet2019WsRp100","PctHbWet2019WsRp100","PctAg2006Slp10Cat","PctAg2006Slp10Ws","PctAg2006Slp20Cat","PctAg2006Slp20Ws","PctImp2006Cat","PctImp2006Ws","PctImp2008Cat","PctImp2008Ws","PctImp2011Cat","PctImp2011Ws","PctImp2001Cat","PctImp2001Ws","PctImp2013Cat","PctImp2013Ws","PctImp2019Cat","PctImp2019Ws","PctImp2016Cat","PctImp2016Ws","PctImp2004Cat","PctImp2004Ws","PctImp2008CatRp100","PctImp2008WsRp100","PctImp2019CatRp100","PctImp2019WsRp100","PctImp2006CatRp100","PctImp2006WsRp100","PctImp2011CatRp100","PctImp2011WsRp100","PctImp2001CatRp100","PctImp2001WsRp100","PctImp2004CatRp100","PctImp2004WsRp100","PctImp2013CatRp100","PctImp2013WsRp100","PctImp2016CatRp100","PctImp2016WsRp100","WtDepCat","WtDepWs","OmCat","OmWs","PermCat","PermWs","RckDepCat","RckDepWs","ClayCat","ClayWs","SandCat","SandWs","DamDensCat","DamNIDStorCat","DamNrmStorCat","DamDensWs","DamNIDStorWs","DamNrmStorWs","SuperfundDensCat","SuperfundDensWs","NPDESDensCat","NPDESDensWs","TRIDensCat","TRIDensWs","NPDESDensWsRp100","SuperfundDensWsRp100","TRIDensWsRp100","MineDensCat","MineDensWs","MineDensWsRp100","PctColluvSedCat","PctGlacTilClayCat","PctGlacTilLoamCat","PctGlacTilCrsCat","PctGlacLakeCrsCat","PctGlacLakeFineCat","PctHydricCat","PctAlluvCoastCat","PctColluvSedWs","PctGlacTilClayWs","PctGlacTilLoamWs","PctGlacTilCrsWs","PctGlacLakeCrsWs","PctGlacLakeFineWs","PctHydricWs","PctAlluvCoastWs","PctWaterWs","RdDensCat","RdDensWs","RdDensCatRp100","RdDensWsRp100","RdCrsCat","RdCrsSlpWtdCat","RdCrsWs","RdCrsSlpWtdWs","RunoffCat","RunoffWs","Pestic97Cat","Pestic97Ws","BFICat","BFIWs","SN_2008Cat","SN_2008Ws","NO3_2008Cat","NO3_2008Ws","InorgNWetDep_2008Cat","InorgNWetDep_2008Ws","NH4_2008Cat","NH4_2008Ws","AgKffactCat","AgKffactWs","KffactCat","KffactWs","Precip8110Cat","Tmax8110Cat","Tmean8110Cat","Tmin8110Cat","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","NABD_DensCat","NABD_NIDStorCat","NABD_NrmStorCat","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","Na2OCat","Na2OWs","Al2O3Cat","Al2O3Ws","CaOCat","CaOWs","Fe2O3Cat","Fe2O3Ws","SiO2Cat","SiO2Ws","MgOCat","MgOWs","SCat","SWs","P2O5Cat","P2O5Ws","K2OCat","K2OWs","NCat","NWs","HydrlCondCat","HydrlCondWs","CompStrgthCat","CompStrgthWs","CBNFCat","CBNFWs","FertCat","FertWs","ManureCat","ManureWs","MAST_2008","MAST_2009","MAST_2013","MAST_2014","MSST_2008","MSST_2009","MSST_2013","MSST_2014","MWST_2013","Phos_ManureCat","Phos_ManureWs","Phos_FertCat","Phos_FertWs","Phos_Crop_UptakeCat","Phos_Crop_UptakeWs","NsurpCat","NsurpWs","NANICat","NANIWs","Precip_Minus_EVTCat","Precip_Minus_EVTWs","RockNCat","RockNWs","SepticCat","SepticWs","WWTPMajorDensCat","WWTPMajorDensWs","WWTPMinorDensCat","WWTPMinorDensWs","WWTPAllDensCat","WWTPAllDensWs","WaterInputCat","WaterInputWs","CatAreaSqKm","WsAreaSqKm","Tile_density"
0.11,0,0,312.9858,362.7559,2.22,3.78,1.45,0.61,0,0,35.4,1.61,6.16,0.19,5.18,11.79,27.5,3.81,0.29,0.5,5.2,5.77,4.56,1.44,0.26,8.63,0.18,1.21,0.05,4.03,10.87,54.58,1.39,1.34,7.4,1.2,0,0,0,0,58.86,1.03,5.68,0,0.17,2.24,0.17,21.51,1.72,0.47,3.97,3.98,3.1,0.99,0.19,12.57,0.09,1.21,0.01,5.25,14.72,43.89,5.79,3.78,5.66,2.24,0.58,0.19,0.88,5.84,0.97,5.97,0.97,6.13,0.8,5.22,1.03,6.21,1.08,6.51,1.07,6.37,0.82,5.56,0.04,4.12,0.04,4.47,0.04,4.01,0.04,4.2,0.04,3.59,0.04,3.83,0.04,4.25,0.04,4.36,181.3431,139.1012,0.6554,1.4398,4.3579,6.0189,150.1839,136.6495,19.1805,22.2405,8.8885,26.0198,0,0,0,0.0147,15267.4896,6373.874,0,0.0023,0,0.0023,0,0.0203,0.0057,0,0.0229,0,0.0045,0,0,0,0,0,100,0,0,0,6.01,0,68.8,0,25.18,0,0,0,0,1.8929,3.0159,1.287,2.765,0,0,0.0221,0.0068,237,237.1293,76.3060493278688,84.5095398099332,64,62.5712,483.7433,490.2507,7.8724,7.9207,4.7018,4.7569,3.7736,3.8306,0.1264,0.1731,0.3227,0.2862,851.028018315706,12.5690164629032,7.11244038209942,-15.8482548062136,853.198292601216,12.3624813333829,7.0377685325183,-15.7707989150881,0,0,0,0.0158,16330.2662,6703.9894,0.2131,0.5105,2.3734,3.8577,23.6537,27.0842,1.1981,2.4203,21.9579,23.0302,11.961,7.734,0.0813,0.1164,0.091,0.1419,0.7925,0.8485,0.0567,0.0721,7.3648,17.2899,106.9238,88.1213,21.403,32.4256,30.519,45.8046,0.3964,2.1123,9.37389749447,9.39511674542,9.36849798295,9.35486520558,19.5261219356,18.3692858654,19.6084898695,19.3323285423,2.92404753913,33.2002,156.9974,551.0302,974.2809,962.8996,1564.5191,4662.75418774497,1604315.22098606,2418.52037848882,1119492.88763191,22,21.924,303.966,272.0756,5.139,4.3705058,0,0.0011,0,0.0136,0,0.0147,1.0729034301445e-05,0.00271887809916686,3.4038,885.5532,230615.206218538
0.007,0,0,356.8083,414.2929,3.44,3.9,2.6,1.38,0.25,0,17.01,1.3,23,2.56,1.51,1.42,0,36.03,5.61,2.42,1.34,0.64,0.22,0.06,0.87,14.27,4.58,17.72,3.94,1.47,1.47,0.12,46.71,4.17,10.4,0.87,0.29,0.87,0.43,0,29.91,0.14,27.31,4.19,1.3,2.02,0,18.93,3.32,1.58,1.47,0.86,0.3,0.08,0.31,13.49,2.9,20.96,2.9,1.33,2.62,0.18,41.88,9.14,0,0.03,0,0,1.91,0.4,1.97,0.42,2.01,0.43,1.66,0.38,2.11,0.45,2.13,0.48,2.11,0.47,1.71,0.39,0.87,0.55,1.01,0.63,0.87,0.54,0.87,0.57,0.52,0.51,0.52,0.52,0.94,0.59,0.94,0.61,65.4996,87.0379,14.0423,20.2775,10.3214,11.4996,152.4,147.3735,28.4089,26.3879,40.4747,41.4482,0,0,0,0.0023,186924.5133,123302.5934,0,0,0,3e-04,0,3e-04,0,0,0,0,9e-04,0,0,0,13.07,0,0,6.49,0,80.44,0,0,14.36,12.59,22.69,40.25,9.2,0.91,0,1.9129,0.7074,1.7387,0.8339,0.014,1e-04,0.0044,5e-04,229,228.9797,0.706867354449099,0.248593397192681,56,55.7366,343.922,361.5992,5.7011,5.943,3.3527,3.5316,2.665,2.825,0.0043,0.0055,0.2024,0.1816,680.038165127775,9.80332646493506,3.57289261472141,-22.4595725311688,703.565419957151,9.8173470613288,3.61889521013606,-21.4031074645596,0,0,0,0.0014,142372.6739,119702.5589,3.0584,2.6892,14.4859,13.9237,2.2023,3.6434,3.9577,8.0532,69.7082,62.4399,1.1016,2.4168,0.0078,0.0488,0.1153,0.167,2.9834,2.4159,0.0044,0.0419,0.0381,6.3859,161.1165,135.5288,0.4625,0.4183,0.362,0.2289,0.0201,0.0228,9.67422807879,9.71666187405,10.1359215277673,9.90393143971825,18.1925806346,17.5139094891,18.4026143922,18.1925806346,1.48229367101684,2.3757,1.1915,3.9596,3.372,31.6782,18.9729,1351.05322887034,2038749.12301584,658.493698673939,1154288.11636127,13,16.35,21.5664,15.03,0.304,1.4070746,0,0,0,6e-04,0,6e-04,2.57533781162258e-07,0.00217442941822407,2.1483,3492.0855,327.929703829972
0.004,0,0.2587,309.9388,369.1906,7.35,11.48,5.86,1.86,0.14,0,2.18,0,0.5,0,0.54,0.18,48.12,19.06,2.72,13.57,1.33,0.53,0.18,0.03,0.01,5.9,0.36,1.62,0.2,0.19,1.81,19.94,34.99,19.34,5.52,12.98,7.73,2.21,0.55,0,2.21,0,1.66,0,2.49,1.1,18.78,44.75,0,2.09,2.98,1.18,0.42,0.06,0.04,9.65,0.71,3.48,0.23,0.29,3.34,17.56,30.71,27.28,0.14,0.02,0,0,3.66,0.35,3.7,0.35,3.7,0.36,3.43,0.32,3.82,0.38,3.87,0.4,3.86,0.39,3.62,0.33,5.61,0.79,5.64,0.9,5.49,0.78,5.61,0.81,5.35,0.72,5.49,0.75,5.61,0.85,5.61,0.87,91.793,58.1478,1.6485,15.306,24.4038,10.1019,152.4,152.4,9.6883,18.7109,67.4521,44.2764,0,0,0,0.0031,489229.4647,171215.2963,0,0,0,1e-04,0,4e-04,0,0,0,0,0,0,0,2.36,0,0,39.95,0,0,57.69,0,4.51,43.53,0,12.81,0.17,24.75,0.95,13.28,2.5197,0.7363,5.5879,0.9837,0.0151,1e-04,0.0052,2e-04,80.0817,90.9541,24.7913836956877,14.0605865570879,40.5193,41.2673,382.4455,376.8449,5.8598,5.9562,3.833,3.7306,3.2381,3.0779,0.0753,0.0477,0.1853,0.1272,600.514903132093,10.1348987151611,4.32338886200182,-21.2170681375397,618.350892067391,9.79153787591719,3.83199300043461,-21.9074164181599,0,0,0,0.002,478948.3548,167902.9135,1.3848,1.3246,10.591,13.1001,0.8561,3.2915,15.0645,10.6303,54.9537,55.7733,0.8617,1.5152,0.0344,0.6542,0.1292,0.6683,2.0493,2.2466,0.2935,0.5859,168.3093,32.7957,1.1529,5.0151,10.236,4.9822,11.4644,6.6622,0.4094,0.2137,11.9471291067,11.9494248119,11.9503087715,11.9381550056,20.8577487844,19.9341236254,20.8966185984,20.3638880002,1.54898551822597,40.5951,13.758,350.2956,216.678,443.826,225.5094,398.422715425606,2793677.32024281,-384.771347176683,-5180.51587702853,3.8543,6.0409,13.7318,19.0669,0.996,0.9948304,0,1e-04,0,3e-04,0,4e-04,1.42308185116269e-05,0.143273111397961,1.9827,9413.5077,39973.4506737753
0.016,0,0.1196,239.2855,306.2491,0.59,2.53,1.89,0.32,0.04,9.87,0.47,0.04,0,0.04,7.26,0,57.92,12.87,6.16,0.26,1.76,0.94,0.18,0.03,0.05,8.02,0.09,0.51,0.17,0.13,8.31,47.3,7,25.22,0.14,1.51,3.3,0.27,0.14,17.03,1.24,0.14,0,0,14.84,0,37.64,21.98,1.79,0.15,4.53,1.98,0.34,0.05,0.18,5.38,0.12,0.95,0.12,0.22,6.49,48.16,12.59,18.73,0.2,0.01,0,0,0.93,0.51,0.95,0.52,0.95,0.52,0.9,0.49,0.99,0.54,1.05,0.57,1.01,0.56,0.9,0.5,1.37,1.09,1.44,1.21,1.37,1.07,1.37,1.11,1.25,1.03,1.25,1.05,1.44,1.15,1.44,1.18,106.5592,68.3535,1.5657,7.2144,1.493,13.0354,152.4,152.4,48.8838,19.7207,9.8855,47.8237,0,0,0,0.0019,6305.6902,3167.9683,0,0,0,0,0,4e-04,0,0,0.0037,0,4e-04,0,0,0,0,0,0,13.98,0,86.02,0,34.16,3.11,0,30.38,14.25,14.17,3.94,0,1.5306,1.1167,1.3545,1.3573,0.0132,0,0.0067,3e-04,72,72.6788,75.0012565487564,43.3128698457644,23,27.2658,339.956,360.8444,5.2133,5.5783,3.4281,3.5948,2.9042,3.0128,0.1704,0.1333,0.294,0.1864,538.246063174102,9.53616021567311,3.84562488417292,-22.5288986495065,577.187961978353,9.51128274611185,3.60938824159507,-22.435658315779,0,0,0,0.0011,3327.5766,2245.6838,1.3575,1.0599,11.6015,12.9439,2.7266,3.0591,9.8478,13.053,59.4798,51.457,1.4298,1.52,0.1639,0.426,0.1603,0.4184,2.2517,2.3009,0.3947,0.5713,96.4032,79.1768,0.8612,0.7965,9.9262,10.6168,23.9396,26.4216,0,0.5464,12.30903133,12.3185991392,12.2900785165,12.2900785165,20.9405391195,20.6231049179,21.5048822232,20.9405391195,1.55994475820375,11.8737,47.9516,469.1566,534.7216,576.1551,601.8171,1173.23114469209,1795657.1442654,184.501794360681,714961.106841474,0,3.815,91.9961,73.053,0.463,0.6322508,0,0,0,4e-04,0,4e-04,6.74593801687597e-05,0.0491698784185206,2.2797,2660.2488,7259.53073046898
0.004,0,0,424.9553,500.6956,0.68,2.03,4.73,1.35,0,0,1.35,0,61.49,1.35,0,0,0,26.35,0.68,9.29,0.87,0.28,0.15,0.05,0.3,4.59,21.76,19.49,3.7,3.52,0.01,0,34.1,1.9,3.57,0,0,0,0,0,0,0,28.57,0,0,0,0,64.29,3.57,1.77,0.72,0.29,0.13,0.03,0.1,2.72,24.35,15.91,3.64,3.16,0.01,0,43.83,3.34,0,0,0,0,2.32,0.2,2.32,0.21,2.32,0.21,1.96,0.19,2.32,0.22,2.62,0.27,2.62,0.26,1.96,0.19,0,0.19,0,0.24,0,0.18,0,0.19,0,0.17,0,0.17,0,0.2,0,0.23,170.7355,142.8202,4.3905,10.1606,9.6603,14.3434,72.4938,104.674,9.7618,8.6594,50.8761,56.0646,0,0,0,0.0012,25990.3172,20825.0423,0,0,0,3e-04,0,0,0,0,0,0,6e-04,0,0,0,0,57.43,0,42.57,0,0,0,0,8.08,83.77,4.71,0,3.44,0,0,3.3742,0.5403,4.1109,0.4765,0,0,0.0018,2e-04,305,304.5984,0.0066002048552027,0.0219494164560266,51,51.7385,435.3279,466.8158,7.1401,7.5918,4.049,4.2647,3.1441,3.2907,0,1e-04,0.24,0.2052,726.905204567567,9.63249506175676,3.40409087329054,-21.8736481666892,738.615447182608,9.31257524092023,3.19491258272868,-20.8102678646755,7.5075,162648969.3694,77046198.1982,9e-04,22270.9148,17105.6399,2.4999,2.802,13.892,18.1284,7.5368,8.4886,12.1483,7.4815,51.9556,52.9817,5.2075,4.5626,0.0572,0.0416,0.2839,0.1237,1.1001,1.0799,0.0054,0.0055,0.481,0.5577,170.8206,183.1355,0,0.0053,0,0.0026,0,3e-04,10.3236938696,10.3534360288,10.3788297326774,10.2082666575078,20.0111613152,19.2306322236,20.0978529089,19.4890740807,1.53240065845687,0,0.0141,0,0.045,0,0.2505,70.0968040498849,1962777.99149951,40.4456127892489,1147856.04464913,16,17.8111,19.8123,13.4174,0.504,0.6922629,0,0,0,0,0,0,0,2.92207268103128e-05,0.1332,3415.8294,0
0.016,0,0.0157,294.0185,412.3689,2.94,8.02,19.31,17.18,4.48,0.06,0,0.08,0,0,0.02,0.08,38.99,5.29,3.54,14.64,3.51,1.31,0.58,0.15,0.24,20.5,0.73,1.02,0.37,0.99,10.36,33.45,3.3,8.84,3.41,11.24,13.66,6.54,2.42,0.43,0,0.28,0,0,0,0.43,21.19,27.17,13.23,3.09,5.94,2.75,0.91,0.18,0.11,16.41,0.53,1.51,0.25,1.17,5.73,28.71,5.96,26.76,0.12,1.59,0,0.05,21.61,1.02,21.82,1.03,21.98,1.05,20.89,0.95,22.19,1.07,22.42,1.14,22.26,1.1,21.01,0.98,11.62,1.84,11.88,1.99,11.49,1.81,11.76,1.87,11.31,1.69,11.31,1.77,11.82,1.89,11.82,1.93,44.65,144.1477,1.01,3.0284,0.57,13.7117,152.4,152.4,47.36,15.2005,8.0898,54.0766,0,0,0,0.0088,297816.2306,242580.0333,0,2e-04,0,6e-04,0,0.0033,0.0029,0,0,0,2e-04,0,0,0,0,0,0.65,23.7,0,75.65,0,0,63.51,0,30,4.02,0,0.17,2.3,7.8899,1.5904,5.4371,1.6071,0.0139,1e-04,0.004,3e-04,88,87.5005,68.3635125194751,55.3912577411056,43.0406,61.1573,473.2306,450.6626,7.0469,6.8748,4.8416,4.5532,4.1937,3.8715,0.1244,0.0957,0.32,0.1994,596.775572001666,11.8833383714226,6.07657243211831,-18.8798162463862,647.927090940855,10.764813360202,5.1375589096173,-19.9663737368452,0,0,0,0.0082,315024.7579,254900.3909,1.391,1.593,11.5356,12.0463,2.1065,1.6097,10.4728,12.4131,59.5819,56.1332,1.271,1.1882,0.121,0.0811,0.1525,0.1695,2.2493,2.2756,0.3371,0.2674,106.9851,74.1491,0.9068,4.3424,11.2714,13.1536,20.9881,18.3894,0,3.2065,9.18653006169,9.193793981,9.13709141615,9.15769435353,20.710370823,19.6156887506,20.5496317211,19.8700632017,0.82896432477,10.212,146.9377,678.1203,457.4947,924.3647,644.6935,6067.8744010764,5416215.49432942,5380.06234685892,3114614.53342537,0,7.6755,87.6943,26.7153,0.581,2.8555186,0,4e-04,0,0.0014,0,0.0018,0.000127741224300292,2.15734926144645,4.3209,5116.1904,19100.8293812179
0.039,0,0,316.7402,398.7659,0,9.17,1.67,1.67,0,0,13.33,0.83,9.17,0,4.17,30,25,5,0,0.07,2.06,2.61,0.76,0.13,0.06,6.94,0.09,1.05,0.01,2.74,6.11,76.42,0.32,0.62,0,5.88,3.92,1.96,0,0,0,1.96,17.65,0,7.84,49.02,0,11.76,0,0.09,1.71,1.88,0.35,0.08,0.08,15.23,0.25,2.96,0.03,4.7,10.09,58.64,1.57,2.37,6.67,1.9,5,0.18,1.82,1.45,1.82,1.49,1.82,1.51,1.82,1.41,1.82,1.52,2.31,1.61,1.82,1.54,1.82,1.44,3.2,0.97,3.2,1.03,3.2,0.95,3.2,0.97,3.2,0.93,3.2,0.95,3.2,0.98,3.2,1,122.37,124.3792,1.71,1.8782,15.84,6.8915,152.4,151.7455,17.05,21.2818,33.7588,33.6383,0,0,0,0.0079,844.314,389.3091,0,0,0,0,0,0.0039,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.7,0,98.3,0,0,0,0,0,0,2.5071,1.482,2.5071,1.3999,0,0,0.0143,0.0029,258,258.058,30.1134396870833,106.811540977529,66,60.6796,540.0027,537.2172,8.805,8.6943,5.1934,5.1798,4.1358,4.1506,0.0375,0.204,0.2528,0.2754,859.636764525,12.6411414146667,7.176540672775,-15.5,866.806242292115,12.1588847709604,6.9162142940151,-15.6420148685647,0,0,0,0.0039,394.1754,228.7191,0.2854,0.3914,2.589,4.8762,25.8676,20.4173,1.276,2.5961,23.3116,33.4978,9.4152,7.9463,0.1314,0.046,0.1405,0.0864,0.7285,1.7552,0.053,0.0905,19.3068,1.0642,101.7563,107.548,9,42.1368,9.75,56.5745,0.9,3.0915,9.10035749441,9.12139476106,9.12464733122,9.07576768081,19.9302526557,18.4899701422,19.974685185,19.3155038933,2.97502315141,29.7231,232.5032,137.3818,1220.5522,242.132,1895.1043,129.477981963117,276692.908935001,50.5933940589785,-118435.925285888,22,23.9942,269.2745,270.9463,1.571,1.8223599,0,0,0,0.0059,0,0.0059,1.04609532433957e-07,0.0240559182847612,0.108,506.9412,425091.738121902
0.042,0,0.1223,343.3183,379.8783,0.18,3.96,0.77,0.07,0.01,0,0.87,0,0.91,0,0.02,0,76.07,12.19,4.94,1.42,2.72,0.83,0.2,0.06,0.27,10.41,0.44,1.21,0.21,1.57,7.09,51.68,6.8,15.1,0.62,4.04,0.62,0.07,0,0,2.46,0,2.81,0,0.14,0,41.89,43.53,3.83,0.35,4.05,1.18,0.22,0.03,0.05,10.38,0.58,1.54,0.29,0.67,7.3,46.7,6.49,20.17,0.17,0.44,0,0.01,0.55,0.56,0.55,0.56,0.55,0.57,0.53,0.54,0.55,0.58,0.58,0.64,0.57,0.6,0.55,0.56,0.6,0.75,0.6,0.84,0.6,0.75,0.6,0.76,0.6,0.73,0.6,0.75,0.6,0.78,0.6,0.8,77.294,90.4904,1.6009,7.6762,9.5933,7.9317,152.4,152.4,18.9749,20.5543,43.3381,39.1289,0,0,0,0.0026,1437.7447,399.3735,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,55.49,0,34.7,0,0,9.81,0,0,75.76,0,3.86,0,20.25,0.13,0,1.8563,1.3307,1.8855,1.4126,0.0058,1e-04,0.012,0.001,90,90,35.3729722574068,58.5039453644239,42,47.2359,382.4329,397.876,5.8935,6.1994,3.8248,3.9631,3.2178,3.3071,0.1585,0.1106,0.2176,0.1846,607.346363832346,10.0339025394737,4.17674479068491,-21.5312392269083,615.207365948606,9.97515637989246,4.07928749229076,-21.5775760022761,0,0,0,0.0026,1437.7447,399.3735,1.5626,1.4775,11.8752,13.3293,1.1834,2.7868,12.9475,9.2573,56.103,58.2759,1.0659,1.4298,0.056,0.5048,0.1629,0.5488,2.2505,2.3768,0.2424,0.4573,87.2005,9.4179,0.9224,0.5724,18.2446,13.0555,20.4339,20.0562,0.7298,1.1801,10.7407237564,10.7461387329,10.7407237564,10.7274838545,20.368175958,19.7857659587,21.0863903383,20.3539349712,1.57309479850998,70.4155,70.8706,607.6167,401.392,769.8529,626.4747,-2626.29964589459,181734.295856391,-6510.06967402318,-81369.7881690091,3.8658,5.4116,19.1839,20.8017,0.996,1.030571,0,0,0,0.0026,0,0.0026,0.000131238599004773,0.102197450203892,10.3284,772.1343,45696.8850865032
0.003,0,0.012,304.8771,333.0629,0.12,5.49,6.81,5.99,3.58,0.15,15.11,1.7,2.65,0.2,1.11,18.03,32.73,1.75,4.59,8.19,3.24,3.1,1.39,0.37,0.11,11.46,0.15,0.54,0.18,1.27,9.82,50.12,2.22,7.83,0.07,2.35,3.56,2.56,0.85,0.36,46.87,0.5,7.18,0.57,0.28,9.17,1.78,5.41,18.49,3.03,3.87,3.85,1.56,0.23,0.04,16.79,0.04,1.21,0.33,1.52,9.35,28.51,5.81,23.85,0.15,1.07,0,0.02,8.61,2.25,8.91,2.3,9.14,2.35,7.57,2.13,9.3,2.4,9.83,2.5,9.6,2.45,7.62,2.19,3.28,2.51,3.61,2.76,3.28,2.48,3.28,2.57,3.17,2.37,3.17,2.44,3.34,2.65,3.43,2.72,137.8411,130.8356,1.8464,5.4333,29.9182,15.6308,152.4,152.4,5.7988,14.4829,82.8505,54.8668,0,0,0,0.0069,63652.6263,55679.083,0.1111,0.0023,0,0,0,0.0023,0,0,0,0,0.0023,0,0,0,0,0,85.54,0,0,14.46,0,0,87.14,0,12.56,0,0,0.3,0,2.8476,1.9571,3.0648,1.9441,0.01,4e-04,0.0069,8e-04,179,177.5304,63.4725348414159,59.7022585540064,55,53.6476,437.4627,434.6488,6.7564,6.6748,4.3807,4.3654,3.6844,3.6882,0.0881,0.134,0.1701,0.214,751.129117313269,12.1601725816418,6.39833387791221,-17.2912603738626,745.560907105505,12.2070590538689,6.63655569181663,-17.05942185649,0,0,0,0.0046,59301.1075,52778.0705,1.2849,1.6764,9.4855,12.826,0.8461,1.3342,19.6072,10.4642,48.3783,58.8349,0.7379,1.1996,0.0334,0.0661,0.1189,0.1815,1.7837,2.4305,0.3911,0.1865,222.8797,32.2881,1.3636,0.7476,19.8433,22.1714,21.7868,30.6185,5.7672,13.7083,9.86477834777,9.87176629304,9.84761213028,9.82905681248,21.3162352538,19.7671594471,21.5024793466,21.3189276529,1.13070315326,275.0258,620.4124,548.5045,623.3454,894.2721,1071.7465,17419.0785969417,1081305.89991878,13450.9316539392,825499.962259978,12.566,11.9348,25.2049,157.4334,6.925585,5.4356414,0,0,0,0.0023,0,0.0023,0.00170929061889173,0.157215868506653,9.0009,436.2444,149920.345541546
0.429,0.6695,0.148,308.0471,331.678,0,3.16,0.55,0.18,0.01,0,0.17,0,0,0,0.01,0,94.37,0,1.54,2.14,2.95,0.62,0.21,0.04,0.04,0.37,0,0,0,0.1,0.33,89.41,0.04,3.75,0,5.01,0.51,0,0,0,0,0,0,0,0.13,0,76.86,0,17.48,0.49,3.37,0.78,0.26,0.03,0.06,0.38,0,0,0,0.18,0.64,81.47,0.21,12.13,0,0.02,0,0,0.49,0.51,0.49,0.52,0.49,0.52,0.47,0.49,0.5,0.53,0.51,0.55,0.5,0.54,0.48,0.5,0.38,0.6,0.38,0.64,0.38,0.6,0.38,0.61,0.38,0.56,0.38,0.58,0.38,0.62,0.38,0.63,71.4711,78.613,1.5721,1.7098,1.971,2.2819,152.4,152.4,31.7749,30.6647,20.5695,20.0347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,76.41,0,12.69,10.91,0,0,0,1.1304,1.2794,0.8323,1.2939,0.0109,1e-04,0.01,4e-04,88,87.2433,108.161729062425,101.75352007891,36.4473,36.6648,430.3327,436.173,6.3676,6.4167,4.414,4.4805,3.84,3.9115,0.2697,0.2469,0.2884,0.2786,623.133311807621,12.2186480569971,6.26795918590815,-18.0319727633265,622.278090225622,12.0047186799698,6.17664588484815,-17.889400382274,0,0,0,0,0,0,1.742,1.5938,13.3993,12.6868,1.4099,2.2127,8.8143,9.9631,60.7953,58.3697,1.2773,1.4019,0.0712,0.1269,0.1917,0.1874,2.5443,2.3952,0.1498,0.2837,0.0292,31.1325,0.6415,0.7219,39.2641,35.8103,61.7008,55.7153,0,0.9122,12.2465688197,12.2465688197,12.2396504129,12.2412239917,22.7238954819,20.9414644777,22.8451769638,21.6698456743,2.61754087648,45.8063,127.3292,1605.9082,1589.4999,2218.6296,2020.9583,6749.74519293933,123273.111722874,2274.67879404451,-473710.875235759,0,2.041,96.5934,48.999,0.654,0.760184,0,0,0,0,0,0,0.000126944311596074,0.275565448033574,8.2899,1006.0002,230917.165997278
